2025-09-11 10:05:24 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 settings.json: [Errno 2] No such file or directory: 'config/settings.json'
2025-09-11 10:05:24 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 api_keys.json: [Errno 2] No such file or directory: 'config/api_keys.json'
2025-09-11 10:05:24 | ERROR    | main_agent:_load_config:50 | 加载配置文件失败 stock_symbols.json: [Errno 2] No such file or directory: 'config/stock_symbols.json'
2025-09-11 10:05:24 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 10:05:24 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 10:05:26 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 10:05:26 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 10:35:25 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 10:35:25 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 11:51:48 | ERROR    | agents.data_fetching_agent:_get_yahoo_finance_price:230 | Yahoo Finance API调用失败 00981: HTTPSConnectionPool(host='query1.finance.yahoo.com', port=443): Max retries exceeded with url: /v8/finance/chart/00981 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x10dc0ae50>: Failed to resolve 'query1.finance.yahoo.com' ([Errno 8] nodename nor servname provided, or not known)"))
2025-09-11 11:51:48 | ERROR    | agents.data_fetching_agent:_get_yahoo_finance_price:230 | Yahoo Finance API调用失败 00981: HTTPSConnectionPool(host='query1.finance.yahoo.com', port=443): Max retries exceeded with url: /v8/finance/chart/00981 (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x10dc0cc40>: Failed to resolve 'query1.finance.yahoo.com' ([Errno 8] nodename nor servname provided, or not known)"))
2025-09-11 11:51:48 | ERROR    | agents.feishu_integration:get_access_token:76 | 获取访问令牌失败: HTTPSConnectionPool(host='open.feishu.cn', port=443): Max retries exceeded with url: /open-apis/auth/v3/tenant_access_token/internal (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x10dc0cb20>: Failed to resolve 'open.feishu.cn' ([Errno 8] nodename nor servname provided, or not known)"))
2025-09-11 12:09:14 | ERROR    | main_agent:_load_config:51 | 加载配置文件失败 settings.json: [Errno 2] No such file or directory: 'config/settings.json'
2025-09-11 12:09:14 | ERROR    | main_agent:_load_config:51 | 加载配置文件失败 api_keys.json: [Errno 2] No such file or directory: 'config/api_keys.json'
2025-09-11 12:09:14 | ERROR    | main_agent:_load_config:51 | 加载配置文件失败 stock_symbols.json: [Errno 2] No such file or directory: 'config/stock_symbols.json'
2025-09-11 12:09:14 | ERROR    | utils.feishu_bitable_manager:get_access_token:66 | 获取访问令牌失败: invalid param
2025-09-11 12:09:14 | ERROR    | utils.feishu_bitable_manager:get_access_token:67 | 错误代码: 10003
2025-09-11 12:09:14 | ERROR    | agents.feishu_bitable_agent:_initialize_bitable:49 | 飞书多维表格管理器初始化失败
2025-09-11 12:09:14 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 12:09:14 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 12:09:34 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 12:09:34 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 13:05:16 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 13:05:16 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 13:35:17 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 13:35:17 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 14:05:37 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 14:05:37 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 14:41:31 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 14:41:31 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 15:11:32 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 15:11:32 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 15:41:39 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 15:41:39 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 16:11:40 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 16:11:40 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 16:41:46 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 16:41:46 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 17:16:29 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 17:16:29 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 17:52:38 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 17:52:38 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 18:22:39 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 18:22:39 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 18:52:44 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 18:52:44 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 19:22:45 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 19:22:45 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 19:52:50 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 19:52:50 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 20:22:51 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 20:22:51 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 20:53:03 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 20:53:03 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 21:23:04 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 21:23:04 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 21:53:29 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 21:53:29 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 22:23:29 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 22:23:29 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 22:53:36 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 22:53:36 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 23:23:37 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 23:23:37 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-11 23:53:43 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-11 23:53:43 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 00:23:43 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 00:23:43 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 00:53:50 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 00:53:50 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 01:23:51 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 01:23:51 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 01:53:58 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 01:53:58 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 02:23:58 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 02:23:58 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 02:54:03 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 02:54:03 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 03:24:04 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 03:24:04 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 03:54:12 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 03:54:12 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 04:24:12 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 04:24:12 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 04:54:19 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 04:54:19 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 05:24:19 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 05:24:19 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 05:54:25 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 05:54:25 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 06:24:25 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 06:24:25 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 06:54:32 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 06:54:32 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 07:24:32 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 07:24:32 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 07:54:39 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 07:54:39 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 08:24:40 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 08:24:40 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 08:54:45 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 08:54:45 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 09:24:46 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 09:24:46 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 09:54:52 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 09:54:52 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 10:24:52 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 10:24:52 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 10:55:02 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 10:55:02 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 11:25:03 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 11:25:03 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 11:55:08 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 11:55:08 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 12:25:08 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 12:25:08 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 12:55:56 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 12:55:56 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 13:25:57 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 13:25:57 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 14:01:17 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 14:01:17 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 14:31:17 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 14:31:17 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 15:01:23 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 15:01:23 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 15:31:24 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 15:31:24 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 16:01:31 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 16:01:31 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 16:31:32 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 16:31:32 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 17:04:35 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 17:04:35 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
2025-09-12 17:34:35 | ERROR    | agents.feishu_integration:get_access_token:67 | 获取访问令牌失败: invalid param
2025-09-12 17:34:35 | ERROR    | agents.feishu_integration:get_access_token:68 | 错误代码: 10003
